reservation_number_of_reservations,product_fee_description,line_item_product_code,reservation_unused_normalized_unit_quantity,savings_plan_amortized_upfront_commitment_for_billing_period,line_item_unblended_cost,product_servicecode,product_from_location,line_item_unblended_rate,line_item_usage_type,identity_line_item_id,line_item_usage_amount,pricing_public_on_demand_rate,reservation_units_per_reservation,bill_invoice_id,pricing_unit,reservation_amortized_upfront_fee_for_billing_period,product_to_location_type,line_item_usage_end_date,product_from_location_type,reservation_total_reserved_units,product_region_code,reservation_amortized_upfront_cost_for_usage,reservation_unused_amortized_upfront_fee_for_billing_period,product_product_name,line_item_normalization_factor,bill_payer_account_name,line_item_blended_rate,line_item_resource_id,_fivetran_synced,line_item_line_item_type,product_instance_family,product_from_region_code,product_pricing_unit,line_item_tax_type,product,line_item_operation,_modified,product_to_location,line_item_usage_start_date,reservation_unused_recurring_fee,product_location_type,product_fee_code,reservation_recurring_fee_for_usage,reservation_upfront_value,bill_invoicing_entity,line_item_normalized_usage_amount,savings_plan_savings_plan_effective_cost,bill_bill_type,reservation_total_reserved_normalized_units,line_item_availability_zone,bill_billing_period_start_date,pricing_term,pricing_purchase_option,_line,reservation_effective_cost,reservation_normalized_units_per_reservation,line_item_line_item_description,product_instance_type,savings_plan_used_commitment,savings_plan_recurring_commitment_for_billing_period,pricing_public_on_demand_cost,line_item_usage_account_name,line_item_currency_code,line_item_blended_cost,_file,pricing_currency,reservation_unused_quantity,product_location,savings_plan_savings_plan_rate,bill_billing_entity,bill_billing_period_end_date,bill_payer_account_id,identity_time_interval,product_operation,product_usagetype,product_to_region_code,product_product_family,line_item_usage_account_id,savings_plan_total_commitment_to_date
,,AmazonEC2,,,8.33,AmazonEC2,,2.40692,TimedStorage-ByteHrs,82e001a4-cf6b-6237-17cf-0b082acb62bf,39.3311,0.28521,,,Requests,,,2026-05-28 22:37:35.349,,,us-west-2,,,AWS Data Transfer,1.0,Platform,0.63855,,2026-05-28 22:37:35.349,Usage,Compute optimized,,,,"{""product_name"":""AWS Lambda""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.349,,AWS Region,,,,"Amazon Web Services, Inc.",13.6205,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,192119.0,,,Lambda requests,m7g.large,,,2.3464,Data Platform,USD,1.3685,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000002,
,,AWSLambda,,,4.7139,AWSDataTransfer,,2.91223,TimedStorage-ByteHrs,234dd7a2-e13f-deb2-d627-b81da2289955,29.3603,0.31482,,,GB-Mo,,,2026-05-28 22:37:35.351,,,us-east-1,,,Amazon Simple Storage Service,1.0,Analytics,1.86625,,2026-05-28 22:37:35.351,Usage,,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",RunInstances,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.351,,AWS Region,,,,"Amazon Web Services, Inc.",18.4101,,Anniversary,,,2026-05-01 00:00:00,Reserved,No Upfront,259460.0,,,EC2 instance hours,,,,21.9864,Developer Experience,USD,15.6262,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
,,AWSLambda,,,9.254,AWSLambda,,0.03983,TimedStorage-ByteHrs,891c1a7e-dcf1-bb34-7fe9-57c353a29eb8,13.5795,2.19801,,,GB,,,2026-05-28 22:37:35.352,,,eu-west-1,,,Amazon Elastic Compute Cloud,1.0,Analytics,0.95708,,2026-05-28 22:37:35.352,Usage,General purpose,,,,"{""product_name"":""Amazon Simple Storage Service""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.352,,AWS Region,,,,"Amazon Web Services, Inc.",31.4349,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,12964.0,,,EC2 instance hours,,,,13.5174,Developer Experience,USD,9.9863,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Storage,200000000001,
,,AWSLambda,,,19.9131,AWSDataTransfer,,1.09569,TimedStorage-ByteHrs,260f47d5-b668-f381-d1b6-f60e911eb651,26.9384,2.48981,,,GB,,,2026-05-28 22:37:35.352,,,us-west-2,,,AWS Lambda,1.0,Analytics,1.95937,,2026-05-28 22:37:35.352,Usage,,,,,"{""product_name"":""AWS Lambda""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.352,,AWS Region,,,,"Amazon Web Services, Inc.",18.8205,,Anniversary,,,2026-05-01 00:00:00,OnDemand,No Upfront,10398.0,,,EC2 instance hours,,,,2.7126,Data Platform,USD,3.2453,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US East (N. Virginia),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000001,
,,AWSLambda,,,10.4046,AWSLambda,,2.24177,BoxUsage:m7g.large,01a550c5-2f2c-d612-2cf1-8da76bc8ceb2,15.9726,2.38435,,,Requests,,,2026-05-28 22:37:35.353,,,eu-west-1,,,Amazon Simple Storage Service,1.0,Analytics,0.84073,,2026-05-28 22:37:35.353,Usage,,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.353,,AWS Region,,,,"Amazon Web Services, Inc.",20.2186,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,144296.0,,,EC2 instance hours,c7g.xlarge,,,9.5411,Data Platform,USD,6.6149,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000002,
,,AmazonS3,,,17.06,AWSLambda,,2.01994,Request,c48c6b0e-c693-ed29-4414-f0dd3aaa24b8,19.3265,0.72955,,,GB-Mo,,,2026-05-28 22:37:35.353,,,us-west-2,,,Amazon Elastic Compute Cloud,1.0,Analytics,0.9625,,2026-05-28 22:37:35.353,DiscountedUsage,General purpose,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.353,,AWS Region,,,,"Amazon Web Services, Inc.",11.1236,,Anniversary,,,2026-05-01 00:00:00,Reserved,No Upfront,462399.0,,,EC2 instance hours,,,,18.1115,Developer Experience,USD,11.2874,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
,,AmazonEC2,,,9.3526,AmazonS3,,0.6103,TimedStorage-ByteHrs,4637051b-f9da-87f6-520e-04f14f434f1b,16.0923,0.60795,,,GB-Mo,,,2026-05-28 22:37:35.354,,,eu-west-1,,,Amazon Simple Storage Service,1.0,Analytics,2.8663,,2026-05-28 22:37:35.354,Usage,,,,,"{""product_name"":""AWS Data Transfer""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.354,,AWS Region,,,,"Amazon Web Services, Inc.",37.1437,,Anniversary,,,2026-05-01 00:00:00,OnDemand,No Upfront,327769.0,,,Lambda requests,c7g.xlarge,,,18.5132,Developer Experience,USD,0.3574,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Serverless,200000000001,
,,AWSDataTransfer,,,7.3534,AWSLambda,,0.0032,TimedStorage-ByteHrs,a03b23a0-6c70-0206-9923-1c8503876cbf,8.3324,2.00969,,,Requests,,,2026-05-28 22:37:35.355,,,us-west-2,,,AWS Data Transfer,1.0,Platform,0.96634,,2026-05-28 22:37:35.355,Usage,Compute optimized,,,,"{""product_name"":""AWS Data Transfer""}",DataTransfer,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.355,,AWS Region,,,,"Amazon Web Services, Inc.",9.6213,,Anniversary,,,2026-05-01 00:00:00,Reserved,No Upfront,365615.0,,,S3 standard storage,,,,5.4562,Data Platform,USD,11.47,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000001,
,,AmazonS3,,,1.5784,AmazonEC2,,0.36827,BoxUsage:m7g.large,d5154bbf-8611-3465-2423-f383b82516dc,18.5949,3.42445,,,GB,,,2026-05-28 22:37:35.357,,,us-east-1,,,AWS Lambda,1.0,Analytics,0.91092,,2026-05-28 22:37:35.357,Usage,Compute optimized,,,,"{""product_name"":""AWS Lambda""}",RunInstances,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.357,,AWS Region,,,,"Amazon Web Services, Inc.",25.4341,,Anniversary,,,2026-05-01 00:00:00,Reserved,No Upfront,19436.0,,,Data transfer,m7g.large,,,16.4272,Developer Experience,USD,14.5415,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Storage,200000000003,
,,AmazonS3,,,19.1815,AmazonEC2,,3.18676,BoxUsage:m7g.large,8de4ab53-8093-7bc5-1160-09c52f78c31d,24.6516,3.8633,,,Hrs,,,2026-05-28 22:37:35.357,,,us-west-2,,,Amazon Simple Storage Service,1.0,Platform,1.18742,,2026-05-28 22:37:35.357,DiscountedUsage,,,,,"{""product_name"":""AWS Lambda""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.357,,AWS Region,,,,"Amazon Web Services, Inc.",10.4058,,Anniversary,,,2026-05-01 00:00:00,OnDemand,On Demand,479635.0,,,S3 standard storage,c7g.xlarge,,,10.1995,Data Platform,USD,10.1659,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
,,AWSLambda,,,2.354,AmazonS3,,0.76393,TimedStorage-ByteHrs,10701beb-2111-099d-42ac-57f79c17e386,2.8817,0.77564,,,GB,,,2026-05-28 22:37:35.359,,,eu-west-1,,,AWS Lambda,1.0,Platform,1.16075,,2026-05-28 22:37:35.359,Usage,,,,,"{""product_name"":""Amazon Simple Storage Service""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.359,,AWS Region,,,,"Amazon Web Services, Inc.",29.9403,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,401203.0,,,Data transfer,,,,21.202,Core Services,USD,10.5506,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Storage,200000000003,
,,AWSDataTransfer,,,3.537,AmazonS3,,0.2228,BoxUsage:m7g.large,35d21697-ad66-75e1-a564-d26b0feae3f7,37.65,3.19917,,,GB-Mo,,,2026-05-28 22:37:35.359,,,us-west-2,,,Amazon Simple Storage Service,1.0,Platform,0.58277,,2026-05-28 22:37:35.359,Usage,,,,,"{""product_name"":""AWS Data Transfer""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.359,,AWS Region,,,,"Amazon Web Services, Inc.",33.1505,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,63949.0,,,Lambda requests,,,,14.7003,Data Platform,USD,9.8609,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US East (N. Virginia),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000001,
,,AmazonEC2,,,14.5215,AmazonS3,,1.2787,BoxUsage:m7g.large,264d91e4-82f2-6aa3-f109-2c2362468a0d,27.4638,1.06418,,,Hrs,,,2026-05-28 22:37:35.359,,,eu-west-1,,,AWS Lambda,1.0,Analytics,1.49896,,2026-05-28 22:37:35.359,Usage,,,,,"{""product_name"":""AWS Lambda""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.359,,AWS Region,,,,"Amazon Web Services, Inc.",35.3167,,Anniversary,,,2026-05-01 00:00:00,OnDemand,On Demand,339709.0,,,EC2 instance hours,,,,15.4052,Developer Experience,USD,10.6801,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000001,
,,AmazonS3,,,8.4454,AmazonS3,,0.37413,Request,b0682bf4-c12d-aee2-8d37-1b3b0ddd7c43,30.1902,3.35563,,,Hrs,,,2026-05-28 22:37:35.360,,,us-west-2,,,AWS Lambda,1.0,Analytics,2.94289,,2026-05-28 22:37:35.360,Usage,Compute optimized,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",RunInstances,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.360,,AWS Region,,,,"Amazon Web Services, Inc.",23.0885,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,267107.0,,,S3 standard storage,m7g.large,,,14.094,Core Services,USD,3.1801,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Serverless,200000000002,
,,AmazonEC2,,,1.9643,AmazonS3,,1.65329,Request,aca89014-561d-4d04-826c-92dfc717a826,32.9786,3.29843,,,Requests,,,2026-05-28 22:37:35.360,,,us-west-2,,,AWS Lambda,1.0,Platform,2.29341,,2026-05-28 22:37:35.360,Usage,General purpose,,,,"{""product_name"":""AWS Data Transfer""}",DataTransfer,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.360,,AWS Region,,,,"Amazon Web Services, Inc.",29.6116,,Anniversary,,,2026-05-01 00:00:00,OnDemand,No Upfront,53949.0,,,Data transfer,m7g.large,,,12.1532,Data Platform,USD,1.408,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000001,
,,AWSLambda,,,5.6464,AmazonEC2,,0.63018,TimedStorage-ByteHrs,a6ef0a36-274e-fab2-7b85-f01a65194d1e,35.4018,0.27128,,,Hrs,,,2026-05-28 22:37:35.361,,,us-west-2,,,Amazon Simple Storage Service,1.0,Analytics,0.60525,,2026-05-28 22:37:35.361,Usage,General purpose,,,,"{""product_name"":""AWS Lambda""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.361,,AWS Region,,,,"Amazon Web Services, Inc.",0.1941,,Anniversary,,,2026-05-01 00:00:00,OnDemand,No Upfront,394817.0,,,S3 standard storage,c7g.xlarge,,,19.662,Data Platform,USD,13.0102,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
,,AWSLambda,,,15.8083,AmazonEC2,,1.22368,Request,b6c13003-db26-3f58-95ad-1321cf1293c2,9.5396,3.8166,,,GB,,,2026-05-28 22:37:35.361,,,us-west-2,,,AWS Lambda,1.0,Platform,1.60485,,2026-05-28 22:37:35.361,Usage,Compute optimized,,,,"{""product_name"":""AWS Data Transfer""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.361,,AWS Region,,,,"Amazon Web Services, Inc.",15.4268,,Anniversary,,,2026-05-01 00:00:00,OnDemand,No Upfront,206180.0,,,Data transfer,c7g.xlarge,,,14.0135,Developer Experience,USD,15.278,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US East (N. Virginia),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000003,
